horizon,method,mse_mean,mse_std,mae_mean,linex_mean,avg_hhi_mean,avg_excess_mse_vs_best_individual
1.0,MWUMBothKL,0.8260092934747553,0.12231377105702493,0.617038130848366,0.7474508046398601,0.06755213254507082,-0.030459201581675994
1.0,MWUMVanilla,0.8260312169567091,0.1222871078930234,0.6170562266059322,0.7472490056034746,0.06781603328871999,-0.030437278099722243
1.0,Median,0.8315503582877248,0.12375830877427982,0.6187708241773296,0.7407497501832032,nan,-0.024918136768706595
1.0,OGDVanilla,0.8320678930536661,0.12377694339482131,0.6217660469377981,0.7544734033730779,0.06029721960633727,-0.02440060200276532
1.0,OGDBoth,0.8321323001747479,0.12377048679507338,0.6218017158371631,0.7543681807837115,0.06011613619503903,-0.0243361948816835
1.0,MWUMConcOnlyKL,0.8403167078177196,0.12657786608327534,0.6251772460981821,0.7521768367585432,0.05657785622380667,-0.016151787238711673
1.0,Mean,0.8441587840839738,0.12727829989201667,0.6329359550677309,0.7218816964189831,0.05555555555555557,-0.012309710972457718
1.0,OGDConcOnly,0.9249449383756788,0.14778853349154703,0.6534678664450942,0.8911403410096191,0.08596251330116107,0.06847644331924736
4.0,MWUMConcOnlyKL,2.0968830180556703,0.3978913028690002,0.9977044503710126,3.4652917895034854,0.29566082327183024,-0.8883281603660863
4.0,MWUMBothKL,2.2235158631969503,0.4098870898595099,1.0366992079846553,3.622916134022217,0.1915948992082014,-0.7616953152248062
4.0,OGDBoth,2.265043037377868,0.43267179925033405,1.052054725042757,3.5191345827475318,0.16715211256768392,-0.7201681410438882
4.0,OGDVanilla,2.267849080590984,0.44200561505050767,1.0528804147560797,3.5128742446190597,0.22979207105494445,-0.7173620978307721
4.0,OGDConcOnly,2.378894715268683,0.5369524593216026,1.0868751575205924,4.154059757777834,0.13214751158527369,-0.6063164631530736
4.0,MWUMVanilla,2.9936318158349526,0.5751585203454269,1.2110883585554053,7.453743001639283,0.2439818280361291,0.008420637413196097
4.0,Median,3.043429660759861,0.6486290072686691,1.2202794036832716,8.639415180843338,nan,0.058218482338105115
4.0,Mean,3.0622844925267234,0.6385957988734404,1.2447406193382724,9.166780431274747,0.05555555555555557,0.07707331410496694
8.0,MWUMConcOnlyKL,2.624946595890401,0.6435365111498524,1.1190410508696513,5.15886513390744,0.30025116967370363,-1.2071797127540245
8.0,MWUMBothKL,2.6813817562087743,0.6292598139328982,1.1398531180374316,5.24870136523399,0.23271804832762666,-1.1507445524356517
8.0,OGDBoth,2.9933297846227176,0.693485916922858,1.2221218402521965,6.590523550086195,0.16345430684015552,-0.8387965240217081
8.0,OGDVanilla,3.0040365655462087,0.6954037365839008,1.2250151804694733,6.640777882209407,0.19686478909773084,-0.828089743098217
8.0,OGDConcOnly,3.2954275480037505,0.8867068584527206,1.3059808217285749,9.425823106109105,0.16639634184178945,-0.5366987606406749
8.0,MWUMVanilla,3.8891098245742834,0.8551916444877897,1.397579087045779,14.928525412595233,0.976766454514404,0.0569835159298584
8.0,Median,4.203720368867084,1.0563304755880174,1.4573955635766032,19.090637805574374,nan,0.37159406022265845
8.0,Mean,4.431510166792714,1.1429281721192486,1.5254528450901577,22.27509480911054,0.05555555555555557,0.5993838581482889
