horizon,method,best_params,tuning_objective_mse
1.0,MWUMVanilla,{'eta': 0.01580148447850615},0.9275967740804423
1.0,MWUMBothKL,"{'eta': 0.015919552043565138, 'kappa': 0.005714357133536371}",0.9276072196891759
1.0,Median,{},0.9351405990174786
1.0,OGDVanilla,{'eta': 0.001004380875007612},0.9363174265651122
1.0,OGDBoth,"{'eta': 0.001000231236412198, 'kappa': 0.05203263616499159}",0.9363951771480309
1.0,MWUMConcOnlyKL,{'kappa': 7.849943290518327},0.9436778985286702
1.0,Mean,{},0.951494710698005
1.0,OGDConcOnly,{'kappa': 7.989067040220606},1.0591123854559412
4.0,MWUMConcOnlyKL,{'kappa': 0.28056807110434306},2.3110477195341685
4.0,MWUMBothKL,"{'eta': 2.9821867212394793, 'kappa': 0.5913228643145931}",2.436336792645921
4.0,OGDBoth,"{'eta': 0.03643044147708752, 'kappa': 0.8840210944332434}",2.5986572663695844
4.0,OGDVanilla,{'eta': 0.04449333821791166},2.617438665876078
4.0,OGDConcOnly,{'kappa': 7.973929436896223},2.741631494002637
4.0,MWUMVanilla,{'eta': 0.014568470700968195},3.208999573430413
4.0,Median,{},3.257653711387143
4.0,Mean,{},3.300878809265483
8.0,MWUMConcOnlyKL,{'kappa': 0.39742005940341457},2.934682642435865
8.0,MWUMBothKL,"{'eta': 2.900336707567024, 'kappa': 0.6678824415504225}",3.0253191922396407
8.0,OGDBoth,"{'eta': 0.015110282798066584, 'kappa': 0.7407595779704955}",3.470104023728017
8.0,OGDVanilla,{'eta': 0.01529830399119274},3.4878812727270203
8.0,OGDConcOnly,{'kappa': 7.9869664267965925},4.083511276008283
8.0,MWUMVanilla,{'eta': 2.8200403424806297},4.265079734439067
8.0,Median,{},4.704949890767167
8.0,Mean,{},4.886158056388866
